Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Balkwang,balkwang,,,Series,South Korea,< 30 minutes,,,,,,2017-07-25,
Joe MandeÃ¢â‚¬â„¢s Award-Winning Comedy Special,joe mandeã¢â‚¬â„¢s award-winning comedy special,,,Movie,"France,Czech Republic,Iceland,Slovakia,Lithuania,Russia,Belgium,India,Brazil,Mexico,Argentina,Canada,United States,Portugal,Greece,Poland,Romania,Spain,Sweden,Hong Kong,Japan,Switzerland,South Africa,Israel,Italy,Netherlands,Turkey,South Korea,Germany,Singapore,Thailand,United Kingdom,Australia,Hungary",1-2 hour,,,,,,2017-07-25,
Kibaoh Klashers,kibaoh klashers,Adventure,English,Series,"South Korea,South Africa,France,Iceland,Czech Republic,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Israel,Portugal,Poland,Greece,Romania,Germany,Spain,Singapore,Sweden,Netherlands,Italy,Thailand,Hungary,Turkey,Hong Kong,Japan,Malaysia,Colombia",< 30 minutes,5.9,,,,27-Jul-17,2017-07-21,14
Hakuryu,hakuryu,,Japanese,Series,Japan,< 30 minutes,,,,,,2017-07-20,
Nihontouitsu Series,nihontouitsu series,,,Series,Japan,< 30 minutes,,,,,,2017-07-14,
Elegant Yokai Apartment Life,elegant yokai apartment life,"Animation, Mystery",Japanese,Series,"Japan,South Korea",< 30 minutes,6.7,,,,03-Jul-17,2017-07-07,7
Kantaro: The Sweet Tooth Salaryman,kantaro: the sweet tooth salaryman,"Adventure, Comedy, Drama",Japanese,Series,"Spain,United Kingdom,France,Germany,Australia,Singapore,Canada,Argentina,Sweden,Czech Republic,Poland,India,Lithuania,Russia,Slovakia,Hungary,Hong Kong,Japan,Romania,Mexico,South Korea,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Thailand,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,7.7,,,,07-Jul-17,2017-07-06,650
Hyoris Bed and Breakfast,hyoris bed and breakfast,Short,Japanese,Series,"South Korea,Australia,Singapore,Czech Republic,India,Lithuania,United Kingdom,Canada,Argentina,Russia,Hong Kong,Japan,Romania,Mexico,Belgium,Greece,Switzerland,South Africa,Iceland,Thailand,Hungary,France,United States,Slovakia,Turkey,Malaysia,Brazil,Israel,Colombia",< 30 minutes,,,,,,2017-07-05,
The Standups,the standups,Comedy,English,Series,"Sweden,Netherlands,Iceland,South Africa,France,Slovakia,Hungary,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Israel,Portugal,Poland,Greece,Romania,Germany,Singapore,Spain,South Korea,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,6.7,,,,04-Jul-17,2017-07-04,945
Kakegurui,kakegurui,"Animation, Drama, Mystery, Thriller",Japanese,Series,"Spain,United Kingdom,Australia,Germany,France,Russia,Singapore,Canada,Czech Republic,Sweden,Poland,India,Argentina,Hong Kong,Lithuania,Slovakia,Japan,Romania,Mexico,South Korea,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Thailand,Hungary,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,7.2,,2,,01-Feb-18,2017-07-02,4701
Qin Empire: Alliance,qin empire: alliance,,,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,South Africa,Thailand,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,,,,,,2017-07-01,
Kingâ€™s War,kingâ€™s war,Documentary,Romanian,Series,"Singapore,South Africa,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,Thailand,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,8.2,,,,10-May-16,2017-07-01,95
Hans Teeuwen: Real Rancour,hans teeuwen: real rancour,,,Movie,"South Africa,Hungary,Lithuania,India,Australia,Canada,Singapore,Russia,Thailand,United Kingdom,Czech Republic,Belgium",1-2 hour,,,,,,2017-07-01,
Mystic Whispers,mystic whispers,"Comedy, Mystery, Romance",Chinese,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,7.3,,,,,2017-07-01,13
The Oath,the oath,"Comedy, Thriller",English,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,Russia,South Africa,Hungary,Czech Republic,United States,Slovakia,Malaysia,Iceland",< 30 minutes,5.5,,,"$401,463",19-Oct-18,2017-07-01,4246
Against The tides,against the tides,Documentary,English,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,4.4,,1,,17-May-19,2017-07-01,16
The Ultimatum,the ultimatum,"Short, Action, Crime",English,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,8,,,,,2017-07-01,7
The Truth Seekers,the truth seekers,Action,Chinese,Series,"Singapore,Hungary,Lithuania,India,Australia,United Kingdom,Canada,Russia,Hong Kong,South Africa,Czech Republic,United States,Slovakia,Malaysia,Iceland",< 30 minutes,6.5,,,,28-Apr-16,2017-07-01,15
Yours Fatefully,yours fatefully,"Comedy, Romance",Chinese,Series,"Singapore,Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,South Africa,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,6.6,,,,29-May-12,2017-07-01,10
Spice Up,spice up,"Short, Music",English,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,Hong Kong,South Africa,Hungary,Russia,Czech Republic,United States,Slovakia,Malaysia,Iceland",< 30 minutes,5.8,,,,,2017-07-01,47
Yes We Can!,yes we can!,Drama,Chinese,Series,"Singapore,Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,South Africa,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,,,,,,2017-07-01,
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,learning songs by little baby bum: nursery rhyme friends,"Animation, Family, Music",English,Series,"Israel,Greece,Romania,Singapore,Germany,Iceland,South Africa,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,India,Australia,Mexico,Argentina,United Kingdom,Canada,United States,Brazil,Spain,Thailand,Hungary,France,Netherlands,Japan,Sweden,Italy,Poland,Hong Kong,Portugal,Belgium,Turkey,South Korea,Malaysia,Colombia",< 30 minutes,3.7,,,,03-Oct-17,2017-07-01,7
Little Baby Bum: Nursery Rhyme Friends,little baby bum: nursery rhyme friends,"Animation, Family, Music",English,Series,"Israel,Greece,Romania,Singapore,Spain,Germany,Iceland,South Africa,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Thailand,Hungary,Belgium,France,Japan,Netherlands,Poland,Sweden,Hong Kong,Portugal,Turkey,Italy,South Korea,Malaysia,Colombia",< 30 minutes,3.7,,,,03-Oct-17,2017-07-01,7
The Trip 4 - The Family goes to Miami,the trip 4 - the family goes to miami,,,Movie,"Russia,Lithuania,Romania,Hungary,Brazil,Czech Republic,Spain,Israel,Argentina,Slovakia,Turkey,Mexico,Colombia",1-2 hour,,,,,,2017-07-01,
Revenge Porn: Paint it Black,revenge porn: paint it black,,,Movie,Japan,1-2 hour,,,,,,2017-06-30,
Shimajiro Concert,shimajiro concert,,,Series,Japan,< 30 minutes,,,,,,2017-06-29,
Shin Yakuza no Daimon,shin yakuza no daimon,,,Series,Japan,< 30 minutes,,,,,,2017-06-20,
Kibaoh Armored Beetles,kibaoh armored beetles,,,Series,Hong Kong,< 30 minutes,,,,,,2017-06-16,
The Russian Revolution,the russian revolution,"Documentary, History",English,Movie,"India,Australia,United Kingdom,Canada,United States,South Africa",30-60 mins,6.6,,,,15-Jun-17,2017-06-15,470
Toriko: Kaimaku! Gourmet Adventure!!,toriko: kaimaku! gourmet adventure!!,,,Movie,Japan,30-60 mins,,,,,,2017-06-13,
Under the Black Moonlight,under the black moonlight,Drama,Korean,Series,"Singapore,Spain,South Africa,Iceland,France,Hungary,Czech Republic,Lithuania,Russia,India,Australia,Mexico,United Kingdom,Argentina,Canada,United States,South Korea,Hong Kong,Thailand,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,4.6,,,,01-May-16,2017-06-10,39
Magic Phone,magic phone,"Short, Comedy, Sci-Fi",English,Series,"Singapore,Spain,Iceland,France,Czech Republic,Lithuania,Russia,India,Australia,United Kingdom,Mexico,Canada,United States,South Korea,Argentina,Hong Kong,South Africa,Thailand,Hungary,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,,,,,,2017-06-10,
28 Moons,28 moons,,,Series,"Hong Kong,Spain,Singapore,South Africa,Iceland,France,Czech Republic,Hungary,Lithuania,Russia,India,Australia,United Kingdom,Mexico,Canada,United States,South Korea,Argentina,Thailand,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,,,,,,2017-06-10,
Love.com,love.com,"Comedy, Romance",Portuguese,Movie,"South Africa,France,Hungary,Czech Republic,Lithuania,Russia,Belgium,Mexico,Argentina,Canada,United States,Portugal,Hong Kong,Poland,Singapore,Romania,Spain,South Korea,Australia,United Kingdom,Turkey,India,Thailand,Greece,Brazil,Netherlands,Israel,Italy,Colombia",1-2 hour,5.8,,,,01-Jun-17,2017-06-01,662
How to Stage a Coup,how to stage a coup,Documentary,English,Movie,"India,Australia,United Kingdom,Canada,United States,South Africa",30-60 mins,6.1,,,,01-Jun-17,2017-06-01,113
The Mitfords: A Tale of Two Sisters,the mitfords: a tale of two sisters,,,Movie,"Australia,United States,South Africa,India,Canada",30-60 mins,,,,,,2017-06-01,
Amelia: A Tale of Two Sisters,amelia: a tale of two sisters,,,Movie,"Australia,United States,Canada,South Africa,India",30-60 mins,,,,,,2017-06-01,
Jackie: A Tale of Two Sisters,jackie: a tale of two sisters,,,Movie,"Australia,United States,South Africa,India",30-60 mins,,,,,,2017-06-01,
The Dream Job,the dream job,Family,Chinese,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,5.9,,,,28-Jun-16,2017-06-01,9
Professionals of Adult Industry,professionals of adult industry,,,Series,Japan,< 30 minutes,,,,,,2017-05-31,
Abe Sada: The Last Seven Days,abe sada: the last seven days,,,Movie,Japan,1-2 hour,,,,,,2017-05-29,
The Snack World,the snack world,,,Series,Japan,< 30 minutes,,,,,,2017-05-24,
HIGHLAND: Thailands Marijuana Awakening,highland: thailands marijuana awakening,,,Series,"Singapore,South Africa,Iceland,Czech Republic,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Slovakia,Thailand,Hungary,Mexico,Sweden,Poland,Hong Kong,Germany,Portugal,Belgium,Spain,Greece,Switzerland,Romania,Argentina,Japan,France,Turkey,Malaysia,Brazil,Italy,Israel,Colombia",< 30 minutes,,,,,,2017-05-19,
Manu NNa Speciale,manu nna speciale,,,Movie,"Hungary,Lithuania,Russia,India,Australia,United Kingdom,Canada,United States,South Africa,Mexico,Argentina,Spain,Czech Republic",1-2 hour,,,,,,2017-05-04,
JFK: The Making of a President,jfk: the making of a president,"Documentary, Biography, History",English,Movie,"India,Australia,United Kingdom,Canada,United States,South Africa",30-60 mins,6.4,,,,01-Jun-17,2017-05-01,112
My Three Daughters,my three daughters,,,Series,Japan,< 30 minutes,,,,,,2017-04-27,
What in the World Happened?,what in the world happened?,,,Series,"South Korea,Singapore,South Africa,Czech Republic,Hungary,Iceland,Lithuania,Russia,India,Australia,United Kingdom,Canada,United States,Spain,France,Mexico,Hong Kong,Argentina,Thailand,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,,,,,,2017-04-27,
Sanrio Characters Pon Pon Jump,sanrio characters pon pon jump,,,Series,Japan,< 30 minutes,,,,,,2017-04-22,
Abnormal Summit,abnormal summit,"Game-Show, Talk-Show",Korean,Series,South Korea,< 30 minutes,7.4,,,,07-Jul-14,2017-04-19,27
Men on a Mission,men on a mission,,,Series,"South Korea,Hong Kong,Singapore,Spain,South Africa,Iceland,France,Czech Republic,Slovakia,Lithuania,Russia,India,Australia,Mexico,United Kingdom,Canada,United States,Romania,Japan,Belgium,Greece,Switzerland,Thailand,Portugal,Poland,Sweden,Germany,Turkey,Argentina,Hungary,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,,,,2017-04-17,
"Mi-saenng, Incomplete Life","mi-saenng, incomplete life",,,Series,"Switzerland,Slovakia,Portugal,Thailand,Australia,South Korea,Iceland,France,Hong Kong,Russia,Singapore,India,Hungary,Germany,Lithuania,Spain,South Africa,United Kingdom,Canada,Mexico,Belgium,Czech Republic,Argentina,Romania,Poland,Sweden,Turkey,Greece,United States,Malaysia,Japan,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,,,,2017-04-16,
Battle of Tongues,battle of tongues,,,Series,South Korea,< 30 minutes,,,,,,2017-04-15,
Bibi and Tina: Girls Versus Boys,bibi and tina: girls versus boys,,,Movie,"Romania,Singapore,South Africa,Slovakia,Czech Republic,Hungary,Iceland,France,Lithuania,Russia,Sweden,Spain,India,Australia,United Kingdom,Argentina,Canada,United States,Mexico,Thailand,Germany,Greece,Malaysia,Brazil,Italy,Israel,Colombia",1-2 hour,,,,,,2017-04-15,
Bibi and Tina II,bibi and tina ii,,,Movie,"Romania,Singapore,Czech Republic,Slovakia,Hungary,Iceland,France,Lithuania,Russia,Sweden,Spain,India,Australia,United Kingdom,Argentina,Canada,United States,South Africa,Mexico,Greece,Thailand,Germany,Malaysia,Brazil,Italy,Israel,Colombia",1-2 hour,,,,,,2017-04-15,
ID-0,id-0,"Animation, Action, Adventure, Drama, Sci-Fi",Japanese,Series,"Spain,Australia,Germany,Czech Republic,Singapore,France,Canada,Poland,India,Sweden,Lithuania,Hong Kong,Argentina,Russia,Slovakia,Hungary,Japan,Romania,Mexico,Belgium,Greece,Switzerland,Portugal,South Africa,Iceland,Thailand,Turkey,United Kingdom,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,6.1,,,,09-Apr-17,2017-04-08,262
Million Yen Women,million yen women,,,Series,"Russia,Switzerland,Belgium,Australia,India,Mexico,Argentina,United Kingdom,Canada,United States,Portugal,Greece,Poland,Hong Kong,Romania,Germany,Sweden,Singapore,Spain,France,Iceland,South Africa,Czech Republic,Slovakia,Lithuania,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,South Korea,Israel,Colombia",< 30 minutes,,,,,,2017-04-07,
Top Gear: Extra Gear,top gear: extra gear,,,Series,"France,Portugal,Switzerland,Spain,Germany,Italy",< 30 minutes,,,,,,2017-04-04,
Terraformars,terraformars,,,Series,"Japan,Portugal,Spain",< 30 minutes,,,,,,2017-04-02,
Pretty Cure All Stars DX: Everyones Friends the Collection of Miracles!,pretty cure all stars dx: everyones friends the collection of miracles!,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Knight Scoop,knight scoop,,,Series,Japan,< 30 minutes,,,,,,2017-04-01,
Nontan,nontan,,Japanese,Series,Japan,< 30 minutes,,,,,,2017-04-01,
Smile Pretty Cure! -The Movie - Panic in Fairy Tale Land !,smile pretty cure! -the movie - panic in fairy tale land !,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Fresh Pretty Cure the Movie! Secrets of the Toy Kingdom!?,fresh pretty cure the movie! secrets of the toy kingdom!?,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
DokiDoki! Pretty Cure The Movie - Memories for the Future,dokidoki! pretty cure the movie - memories for the future,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Contents League Owarai Selection,contents league owarai selection,,,Series,Japan,< 30 minutes,,,,,,2017-04-01,
Pretty Cure Splash Star Tic-Tock Critical Moment!,pretty cure splash star tic-tock critical moment!,,,Movie,Japan,30-60 mins,,,,,,2017-04-01,
Happiness Charge PreCure! the Movie Ballerina in Marionette Kingdom,happiness charge precure! the movie ballerina in marionette kingdom,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars Sing Together Miracle Magic!,pretty cure all stars sing together miracle magic!,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars Spring Carnival,pretty cure all stars spring carnival,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Peepholeï½žNo Zo Ki A Na,peepholeï½žno zo ki a na,,,Series,Japan,< 30 minutes,,,,,,2017-04-01,
Yes! Pretty Cure 5 GoGo! the Movie:  a Happy Birthday in the Sweet World,yes! pretty cure 5 gogo! the movie:  a happy birthday in the sweet world,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars New Stage 3: Friendship in Dreamland,pretty cure all stars new stage 3: friendship in dreamland,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars DX3: Rainbow Flower to the Future,pretty cure all stars dx3: rainbow flower to the future,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure Max Heart 2: Friends of the Snow-Laden Sky,pretty cure max heart 2: friends of the snow-laden sky,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars New Stage2: Fairly Friends Forever,pretty cure all stars new stage2: fairly friends forever,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
Pretty Cure All Stars DX2: Light of Hope Protect the Rainbow Jewels!,pretty cure all stars dx2: light of hope protect the rainbow jewels!,,,Movie,Japan,1-2 hour,,,,,,2017-04-01,
ComÃ¨ bello far lamore,comã¨ bello far lamore,Comedy,French,Movie,Italy,1-2 hour,6.5,,,,15-Feb-17,2017-04-01,7262
Bridget Christie: Stand Up for Her,bridget christie: stand up for her,Comedy,English,Movie,"India,Canada,United States,South Africa,United Kingdom,Australia",30-60 mins,6.4,,,,09-May-16,2017-03-31,98
Womans Holes,womans holes,"Action, Adventure, Fantasy, Sci-Fi, War","English, German, Dutch, French, Spanish, Chinese, Greek,  Ancient (to 1453), North American Indian",Movie,Japan,1-2 hour,7.4,24,71,"$412,815,408",02-Jun-17,2017-03-24,570776
Dislike a Girl Like Thing,dislike a girl like thing,,,Movie,Japan,1-2 hour,,,,,,2017-03-17,
Nodame Cantabile the Animation,nodame cantabile the animation,,,Series,Japan,< 30 minutes,,,,,,2017-03-17,
The Unchallengeable Daitarn 3,the unchallengeable daitarn 3,,,Series,Italy,< 30 minutes,,,,,,2017-03-15,
Kenshin OAV Seisou Hen,kenshin oav seisou hen,,,Series,Japan,< 30 minutes,,,,,,2017-03-01,
Ultimate Beastmaster Germany,ultimate beastmaster germany,,,Series,"Switzerland,Belgium,Netherlands,Germany,Poland",< 30 minutes,,,,,,2017-02-25,
Ultimate Beastmaster South Korea,ultimate beastmaster south korea,,,Series,South Korea,< 30 minutes,,,,,,2017-02-25,
Ultimate Beastmaster Japan,ultimate beastmaster japan,,,Series,"Hong Kong,Japan,Singapore",< 30 minutes,,,,,,2017-02-24,
Ultimate Beastmaster Mexico,ultimate beastmaster mexico,,,Series,"United States,Argentina,Spain,Mexico,Colombia",< 30 minutes,,,,,,2017-02-24,
Love for Ten: Generation of Youth,love for ten: generation of youth,Drama,Korean,Series,"South Korea,South Africa,Czech Republic,Iceland,India,Spain,Australia,United Kingdom,Canada,United States,Russia,Lithuania,Singapore,Hong Kong,Argentina,Mexico,Thailand,Hungary,France,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,6.6,,,,04-Nov-13,2017-02-17,30
Nightmare High,nightmare high,,,Series,"South Korea,South Africa,Iceland,India,Australia,United Kingdom,Canada,United States,Czech Republic,Lithuania,Russia,Argentina,Mexico,Hungary,France,Slovakia,Thailand,Malaysia,Brazil,Colombia",< 30 minutes,,,,,,2017-02-15,
Me and the Alien,me and the alien,,,Movie,Russia,1-2 hour,,,,,,2017-02-14,
Grillo vs Grillo,grillo vs grillo,Comedy,Italian,Movie,"Australia,Canada,United States,Hungary,Romania,India,Lithuania,Singapore,Russia,South Africa,United Kingdom,Czech Republic",1-2 hour,4.7,,,,10-Feb-17,2017-02-10,111
Eye in the Sky,eye in the sky,"Action, Drama, Thriller, War","English, Somali",Movie,"Hungary,Czech Republic,Australia,Malaysia,Slovakia,Romania",1-2 hour,7.3,4,10,"$18,704,595",01-Apr-16,2017-02-07,79715
Girl Asleep,girl asleep,"Comedy, Family, Fantasy",English,Movie,Australia,1-2 hour,6.2,7,23,"$60,289",08-Sep-16,2017-02-07,2521
Girls Lost,girls lost,"Crime, Drama, Thriller",Swedish,Movie,Sweden,1-2 hour,6.1,4,6,,19-Feb-16,2017-02-06,1082
"Me, Myself and Her","me, myself and her","Short, Drama",English,Movie,Italy,1-2 hour,,,,,15-May-11,2017-02-06,
Daniel Sosa: Sosafado,daniel sosa: sosafado,Comedy,Spanish,Movie,"India,Lithuania,Russia,Hungary,United States,Canada,Australia,Mexico,South Africa,United Kingdom,Argentina,Spain,Czech Republic",1-2 hour,5.3,,,,03-Feb-17,2017-02-03,80
His Girlfriend,his girlfriend,"Short, Drama",Polish,Movie,Japan,1-2 hour,,,1,,,2017-02-02,
"Sparks (AR Fix, DoVi, Scratch Audio)","sparks (ar fix, dovi, scratch audio)",,,Movie,"United States,Canada,Lithuania,India,Slovakia,France,Brazil,Sweden,Czech Republic,Germany,Mexico,Spain,Switzerland,Belgium,Thailand,Singapore,Hong Kong,United Kingdom,Australia,South Korea,Japan,Netherlands,Poland,Russia,Hungary,Romania,South Africa,Portugal,Greece,Israel,Italy,Iceland,Turkey",< 30 minutes,,,,,,2017-02-02,
Come On!: Therapy for the Undecided,come on!: therapy for the undecided,Comedy,German,Series,"Switzerland,Germany",< 30 minutes,7.3,,3,,05-Nov-15,2017-02-01,151
Shopkins,shopkins,Animation,English,Series,"Australia,Singapore,Russia,Hong Kong,Poland,Hungary,Lithuania,United Kingdom,Canada,Mexico,Thailand,Romania,South Africa,Argentina,India,Czech Republic,United States,Greece,Slovakia,Turkey,Malaysia,Israel,Colombia",< 30 minutes,3.9,,,,23-Jun-14,2017-02-01,30
The Kindness Diaries,the kindness diaries,"Adventure, Reality-TV",English,Series,Russia,< 30 minutes,8.2,,,,21-Feb-17,2017-02-01,354
Battles - Kong: King of the Apes,battles - kong: king of the apes,,,Series,"United States,Canada,Brazil,Sweden,Spain,France,Iceland,Slovakia,Greece,Japan,South Korea,Czech Republic,Mexico,Switzerland,Belgium,South Africa,Italy,Hong Kong,Portugal,United Kingdom,Australia,Netherlands,Poland,Russia,Hungary,India,Lithuania,Romania,Thailand,Singapore,Israel,Turkey",< 30 minutes,,,,,,2017-02-01,
13TH: A Conversation with Oprah Winfrey and Ava DuVernay,13th: a conversation with oprah winfrey and ava duvernay,,,Movie,"United States,Switzerland,Sweden,Belgium,Spain,France,India,Iceland,Portugal,Lithuania,Russia,South Africa,Slovakia,Czech Republic,Hungary,Greece,Romania,Poland,Singapore,Hong Kong,Mexico,Canada,Argentina,United Kingdom,Australia,Japan,Thailand,Turkey",30-60 mins,,,,,,2017-01-27,
Bobo SiebenschlÃ¤fer,bobo siebenschlã¤fer,Animation,German,Series,"Switzerland,Germany",< 30 minutes,6,,,,10-Sep-14,2017-01-24,9
Gad Gone Wild,gad gone wild,,,Movie,"United States,Spain,Poland,Mexico,Argentina,France,India,Iceland,Germany,Portugal,Lithuania,Russia,Canada,South Africa,United Kingdom,Brazil,Slovakia,Czech Republic,Hungary,Australia,Netherlands,Greece,Romania,Singapore,Israel,Switzerland,South Korea,Hong Kong,Sweden,Belgium,Japan,Italy,Thailand,Turkey",30-60 mins,,,,,,2017-01-24,
Kazoku Yuugi Katei Kyoushi Wa Mita!,kazoku yuugi katei kyoushi wa mita!,,,Movie,Japan,1-2 hour,,,,,,2017-01-20,
Keiko Sensei No Yuuga Na Seikatsu,keiko sensei no yuuga na seikatsu,,,Movie,Japan,1-2 hour,,,,,,2017-01-20,
Hanatorikago,hanatorikago,,,Movie,Japan,1-2 hour,,,,,,2017-01-20,
Etsuko no Eroii Hanashi: Aruiwa Ai De Ippai no Umi,etsuko no eroii hanashi: aruiwa ai de ippai no umi,Adult,Japanese,Movie,Japan,1-2 hour,,,,,,2017-01-20,
Jinro Game: Crazy Fox,jinro game: crazy fox,,,Movie,Japan,1-2 hour,,,,,,2017-01-13,
Were Lalaloopsy,were lalaloopsy,"Comedy, Horror","English, German, Spanish, Latin",Series,"Iceland,India,Germany,Portugal,Lithuania,Russia,South Africa,Czech Republic,Slovakia,Hungary,Greece,Romania,Singapore,Poland,Israel,South Korea,United Kingdom,United States,Canada,Mexico,Argentina,Brazil,Australia,Switzerland,Belgium,Netherlands,Sweden,France,Spain,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,7.7,26,18,"$3,469,224",13-Feb-15,2017-01-10,158121
Kawaki.,kawaki.,,Japanese,Movie,Japan,1-2 hour,,,,,01-Feb-68,2017-01-01,
Free and Easy Samurai Edition,free and easy samurai edition,,,Movie,Japan,1-2 hour,,,,,,2017-01-01,
Free and Easy Special,free and easy special,,,Movie,Japan,1-2 hour,,,,,,2017-01-01,
Free and Easy Series,free and easy series,,,Series,Japan,< 30 minutes,,,,,,2017-01-01,
Shin Shonan Bakusozoku Arakure Knight,shin shonan bakusozoku arakure knight,,,Series,Japan,< 30 minutes,,,,,,2016-12-30,
Chasing Cameron,chasing cameron,Reality-TV,English,Series,"Sweden,Belgium,Netherlands,Spain,France,Germany,Iceland,India,Portugal,Lithuania,Russia,Slovakia,Czech Republic,South Africa,Greece,Romania,Poland,Israel,Singapore,Hong Kong,United States,United Kingdom,Mexico,Argentina,Canada,Brazil,Australia,Switzerland,South Korea,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,3.7,,,,27-Dec-16,2016-12-27,466
Hello Kitty no Oyako de Issho! English,hello kitty no oyako de issho! english,,,Movie,Japan,30-60 mins,,,,,,2016-12-23,
Cinnamon no Ouchi de Challenge,cinnamon no ouchi de challenge,,,Series,Japan,< 30 minutes,,,,,,2016-12-23,
Parenting Animation with Hello Kitty,parenting animation with hello kitty,,,Series,Japan,< 30 minutes,,,,,,2016-12-23,
Hello Kitty no Magical Aiueo,hello kitty no magical aiueo,,,Movie,Japan,30-60 mins,,,,,,2016-12-23,
Mundo Bita - Bita e as Brincadeiras,mundo bita - bita e as brincadeiras,,,Movie,Brazil,30-60 mins,,,,,,2016-12-21,
My Runway,my runway,Drama,Korean,Series,"South Korea,Argentina,United Kingdom,Australia,Switzerland,Sweden,Belgium,France,Spain,Germany,Iceland,India,Portugal,Lithuania,Russia,Slovakia,Czech Republic,South Africa,Greece,Romania,Poland,Singapore,United States,Canada,Mexico,Hong Kong,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,6.3,,,,,2016-12-20,187
Gegege no Kitarou,gegege no kitarou,,,Series,Japan,< 30 minutes,,,,,,2016-12-16,
Kidan: Piece of Darkness,kidan: piece of darkness,,,Movie,Japan,1-2 hour,6.6,,,,23-Oct-16,2016-12-16,8
The Files of Young Kindaichi,the files of young kindaichi,Mystery,Japanese,Series,Japan,< 30 minutes,6,,,,12-Jan-13,2016-12-16,73
