Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Behind Her Eyes,behind her eyes,"Short, Drama",English,Series,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",< 30 minutes,6.2,,,,15-May-18,2021-02-18,8
The Manson Family Massacre,the manson family massacre,"Crime, Horror, Thriller",English,Movie,South Korea,1-2 hour,3,,,,06-Aug-19,2021-02-17,273
Return of the King Huang Feihong,return of the king huang feihong,Action,Chinese,Movie,South Korea,1-2 hour,4.2,,,,13-Nov-17,2021-02-17,5
Ten Years Japan,ten years japan,Drama,Japanese,Movie,South Korea,1-2 hour,5.6,,,,03-Nov-18,2021-02-17,102
Love at Second Sight,love at second sight,"Comedy, Drama, Fantasy, Romance","French, English",Movie,South Korea,1-2 hour,7,,1,,03-Apr-19,2021-02-17,3527
Liberation,liberation,"Drama, History, Romance, War","Russian, German, Italian, Polish, English, French",Movie,South Korea,1-2 hour,7.8,1,,,01-Nov-71,2021-02-17,525
The King is Invincible,the king is invincible,Action,Chinese,Movie,South Korea,1-2 hour,5.7,,,,28-Jul-19,2021-02-17,9
Amanda,amanda,Drama,"French, English",Movie,South Korea,1-2 hour,7,4,7,,21-Nov-18,2021-02-17,2012
Corpus Christi,corpus christi,Drama,Polish,Movie,South Korea,1-2 hour,7.7,54,33,"$127,240",28-Feb-20,2021-02-17,13208
The Shadow,the shadow,"Action, Adventure, Crime, Fantasy, Mystery, Thriller",English,Movie,Brazil,1-2 hour,6.1,,4,"$32,063,435",01-Jul-94,2021-02-17,23422
Artysci,artysci,Drama,Polish,Series,Poland,< 30 minutes,7.9,,1,,02-Sep-16,2021-02-17,113
Overcoming,overcoming,"Documentary, Sport","Danish, English, Italian, Spanish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Belgium,Portugal,Hungary,Netherlands,Germany,Switzerland,United Kingdom,Czech Republic",1-2 hour,6.9,,,,28-Apr-06,2021-02-17,353
Se min kjole,se min kjole,Drama,Danish,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom",1-2 hour,6.2,,12,,03-Jul-09,2021-02-17,493
Aftermath,aftermath,"Drama, Thriller","English, Thai",Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,5.7,,,,07-Apr-17,2021-02-17,22226
